"label","o1","class"
"Liisi Oterma","http://dbpedia.org/resource/Liisi_Oterma",1
"Louis Boyer (astronomer)","http://dbpedia.org/resource/Louis_Boyer_(astronomer)",1
"George Willis Ritchey","http://dbpedia.org/resource/George_Willis_Ritchey",1
"Jean Richer","http://dbpedia.org/resource/Jean_Richer",1
"Julius Reichelt","http://dbpedia.org/resource/Julius_Reichelt",1
"Robert Evans (astronomer)","http://dbpedia.org/resource/Robert_Evans_(astronomer)",1
"Frances Woodworth Wright","http://dbpedia.org/resource/Frances_Woodworth_Wright",1
"Syuichi Nakano","http://dbpedia.org/resource/Syuichi_Nakano",1
"Sadao Sei","http://dbpedia.org/resource/Sadao_Sei",1
"M. Shahid Qureshi","http://dbpedia.org/resource/M._Shahid_Qureshi",1
"Clyde Tombaugh","http://dbpedia.org/resource/Clyde_Tombaugh",1
"Ali Qushji","http://dbpedia.org/resource/Ali_Qushji",1
"Alphonse Borrelly","http://dbpedia.org/resource/Alphonse_Borrelly",1
"Atsuo Asami","http://dbpedia.org/resource/Atsuo_Asami",1
"Atsushi Sugie","http://dbpedia.org/resource/Atsushi_Sugie",1
"Atsushi Takahashi","http://dbpedia.org/resource/Atsushi_Takahashi",1
"Audrey C. Delsanti","http://dbpedia.org/resource/Audrey_C._Delsanti",1
"John Johnson (astronomer)","http://dbpedia.org/resource/John_Johnson_(astronomer)",1
"John Michell","http://dbpedia.org/resource/John_Michell",1
"John N. Bahcall","http://dbpedia.org/resource/John_N._Bahcall",1
"John Pond","http://dbpedia.org/resource/John_Pond",1
"John Russell Hind","http://dbpedia.org/resource/John_Russell_Hind",1
"John Stanley Plaskett","http://dbpedia.org/resource/John_Stanley_Plaskett",1
"John Winthrop (educator)","http://dbpedia.org/resource/John_Winthrop_(educator)",1
"John Zarnecki","http://dbpedia.org/resource/John_Zarnecki",1
"Joseph Hooton Taylor Jr.","http://dbpedia.org/resource/Joseph_Hooton_Taylor_Jr.",1
"Joseph von Fraunhofer","http://dbpedia.org/resource/Joseph_von_Fraunhofer",1
"José Luis Ortiz Moreno","http://dbpedia.org/resource/José_Luis_Ortiz_Moreno",1
"Judith Young (astronomer)","http://dbpedia.org/resource/Judith_Young_(astronomer)",1
"Saul Perlmutter","http://dbpedia.org/resource/Saul_Perlmutter",1
"Sergei Kopeikin","http://dbpedia.org/resource/Sergei_Kopeikin",1
"Edward Guinan","http://dbpedia.org/resource/Edward_Guinan",1
"Edward L. G. Bowell","http://dbpedia.org/resource/Edward_L._G._Bowell",1
"Qingde Wang","http://dbpedia.org/resource/Qingde_Wang",1
"Petrus Alphonsi","http://dbpedia.org/resource/Petrus_Alphonsi",1
"Jules Baillaud","http://dbpedia.org/resource/Jules_Baillaud",1
"Kin Endate","http://dbpedia.org/resource/Kin_Endate",1
"Barry G. Clark","http://dbpedia.org/resource/Barry_G._Clark",1
"Bart Bok","http://dbpedia.org/resource/Bart_Bok",1
"Abolfadl Harawi","http://dbpedia.org/resource/Abolfadl_Harawi",1
"Ingrid van Houten-Groeneveld","http://dbpedia.org/resource/Ingrid_van_Houten-Groeneveld",1
"Ira Sprague Bowen","http://dbpedia.org/resource/Ira_Sprague_Bowen",1
"Isaac Newton","http://dbpedia.org/resource/Isaac_Newton",1
"Issei Yamamoto","http://dbpedia.org/resource/Issei_Yamamoto",1
"J. Allen Hynek","http://dbpedia.org/resource/J._Allen_Hynek",1
